,kcat,MW,kcat_MW
PGK,2332080.0,42.696706500000076,54619.66955226385
PGM_num1,535100.7272727272,23.104858,23159.663100839105
PPS,1544973.525,113.44481880000018,13618.722664837978
PYK_num1,9144000.0,205.88133600000054,44413.93366516708
TPI,39906327.27272727,54.404939799999994,733505.5864307247
GLYCK,990000.0,16.319490699999992,60663.65784319485
ATPPRT,6876.0,30.22911440000001,227.462832983291
HISTD,18329.563636363637,46.770741200000096,391.9023553204583
HISTP,1895.3999999999999,27.8928008,67.95301818525158
HSTPT_num1,10260.0,36.44961920000005,281.48442220213883
IGPDH,3600000.0,21.913590400000007,164281.61402523975
PRAMPC,15183.0,26.08098099999997,582.1483478708112
PRMICI,28498.5,26.60854120000001,1071.0282756876575
PRPPS,138218.4,213.30114780000022,647.9965130314214
CA2t3pp,26635581.479465898,36.95291590000004,720797.8269305093
CAt6pp_num1,26635581.479465898,54.06067930000008,492697.86884579266
COBALT2abcpp,26635581.479465898,42.25881100000005,630296.5192150311
COBALT2tpp,26635581.479465898,27.090878,983193.7333100056
CYANSTpp_num1,501895.3937538462,33.49381449999999,14984.718857681806
FDMO,30180.899047851562,35.54908860000003,848.9922030758205
FE3abcpp_num1,26635581.479465898,95.64375400000004,278487.41151947976
FEROpp,16925.399856,433.5850031999996,39.03594388893757
Kabcpp_num1,26635581.479465898,36.27327870000002,734303.1133126073
Kt2pp,26635581.479465898,68.6252388000001,388130.9842446167
Kt3pp,26635581.479465898,68.6252388000001,388130.9842446167
MG2t3_2pp_num1,26635581.479465898,47.31633560000009,562925.7029672824
MN2tpp,26635581.479465898,27.090878,983193.7333100056
NAt3_1p5pp_num1,26635581.479465898,54.06067930000008,492697.86884579266
NAt3_2pp_num1,26635581.479465898,54.06067930000008,492697.86884579266
NAt3pp,26635581.479465898,34.740212400000075,766707.5023256289
NH4tpp_num1,26635581.479465898,45.40522600000005,586619.2909042203
NO3t7pp,26635581.479465898,48.84204090000008,545341.2877238276
PIt2rpp,26635581.479465898,43.961390300000105,605885.7851787694
PIuabcpp,26635581.479465898,135.4448304000001,196652.62528517944
PPTHpp,4297908.774193549,50.79687810000012,84609.70309499273
SFRD,109783.2,62.99250870000005,1742.797711436438
SULabcpp,26635581.479465898,53.55669,497334.3475757351
