	reaction	equ	g0
MAN2D	MAN2D	fru_c + h_c + nadh_c --> mnl_c + nad_c	-5.8
MCITD_num1	MCITD_num1	2mcit_c --> 2mcacn_c + h2o_c	-2.9
HDPA1	HDPA1	dha_c + pi_c --> dhap_c + h2o_c	14.9
HDPA2	HDPA2	atp_c + dha_c --> adp_c + dhap_c	-15.7
ICL	ICL	icit_c --> glx_c + succ_c	8.9
MALS	MALS	accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c	-39.2
ME1_num1	ME1_num1	mal__L_c + nad_c --> co2_c + nadh_c + pyr_c	12.1
ME2	ME2	mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c	12.4
PPA	PPA	h2o_c + ppi_c --> h_c + 2.0 pi_c	-15.74
PPA2	PPA2	h2o_c + pppi_c --> h_c + pi_c + ppi_c	-0.0
PPC	PPC	co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c	-41.8
PPCK	PPCK	atp_c + oaa_c --> adp_c + co2_c + pep_c	11.2
ABTA	ABTA	4abut_c + akg_c --> glu__L_c + sucsal_c	6.2
ACGK	ACGK	acglu_c + atp_c --> acg5p_c + adp_c	25.7
ACGS	ACGS	accoa_c + glu__L_c --> acglu_c + coa_c + h_c	-26.2
ACODA	ACODA	acorn_c + h2o_c --> ac_c + orn_c	-6.9
ACOTA	ACOTA	acorn_c + akg_c --> acg5sa_c + glu__L_c	-3.6
AGPR	AGPR	acg5sa_c + nadp_c + pi_c --> acg5p_c + h_c + nadph_c	4.6
AMPTASEPG_num1	AMPTASEPG_num1	h2o_c + progly_c --> gly_c + pro__L_c	28
ARGSL	ARGSL	argsuc_c --> arg__L_c + fum_c	-9
CBPS	CBPS	2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c	-17.5
G5SADs	G5SADs	glu5sa_c --> 1pyr5c_c + h2o_c + h_c	-38
G5SD	G5SD	glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c	-7.1
GLU5K	GLU5K	atp_c + glu__L_c --> adp_c + glu5p_c	29.5
GLUNATF	GLUNATF	acorn_c + glu__L_c --> acglu_c + orn_c	2.7
OCBT	OCBT	cbp_c + orn_c --> citr__L_c + h_c + pi_c	-31.6
ORNC	ORNC	orn_c --> nh3_c + pro__L_c	-23
P5CD	P5CD	1pyr5c_c + 2.0 h2o_c + nad_c --> glu__L_c + h_c + nadh_c	-15
P5CR	P5CR	1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c	-13
PROD2	PROD2	fad_c + pro__L_c --> 1pyr5c_c + fadh2_c + h_c	-1
SPMDAT1	SPMDAT1	accoa_c + spmd_c --> N1aspmd_c + coa_c + h_c	-26.7
SPMDAT2_num1	SPMDAT2_num1	accoa_c + spmd_c --> coa_c + h_c + n8aspmd_c	-27.2
SPMS	SPMS	ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c	-0.0
SSALy_num1	SSALy_num1	h2o_c + nadp_c + sucsal_c --> 2.0 h_c + nadph_c + succ_c	-44.3
UREAAH	UREAAH	h2o_c + urea_c --> co2_c + 2.0 nh4_c	-20
ARGSS	ARGSS	asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c	14
BIOTIN_t	BIOTIN_t	atp_c + btn_e + h2o_c --> adp_c + btn_c + h_c + pi_c	-30.61
BTNAMP	BTNAMP	atp_c + btn_c + h_c --> btamp_c + ppi_c	0.0
3HAD100	3HAD100	3hdecACP_c --> h2o_c + tdec2eACP_c	0.0
3HAD120	3HAD120	3hddecACP_c --> h2o_c + tddec2eACP_c	0.0
3HAD121	3HAD121	3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c	0.0
3HAD140	3HAD140	3hmrsACP_c --> h2o_c + tmrs2eACP_c	0.0
3HAD141	3HAD141	3hcmrs7eACP_c --> h2o_c + t3c7mrseACP_c	0.0
3HAD160	3HAD160	3hpalmACP_c --> h2o_c + tpalm2eACP_c	0.0
3HAD161	3HAD161	3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c	0.0
3HAD180	3HAD180	3hoctaACP_c --> h2o_c + toctd2eACP_c	0.0
3HAD181	3HAD181	3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c	0.0
3HAD40	3HAD40	3haACP_c --> but2eACP_c + h2o_c	0.0
3HAD60	3HAD60	3hhexACP_c --> h2o_c + thex2eACP_c	0.0
3HAD80	3HAD80	3hoctACP_c --> h2o_c + toct2eACP_c	0.0
3OAR100	3OAR100	3odecACP_c + h_c + nadph_c --> 3hdecACP_c + nadp_c	-0.0
3OAR120	3OAR120	3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c	-0.0
3OAR140	3OAR140	3omrsACP_c + h_c + nadph_c --> 3hmrsACP_c + nadp_c	-0.0
3OAR160	3OAR160	3opalmACP_c + h_c + nadph_c --> 3hpalmACP_c + nadp_c	-0.0
3OAR180	3OAR180	3ooctdACP_c + h_c + nadph_c --> 3hoctaACP_c + nadp_c	-0.0
3OAR40	3OAR40	actACP_c + h_c + nadph_c --> 3haACP_c + nadp_c	-0.0
3OAR60	3OAR60	3ohexACP_c + h_c + nadph_c --> 3hhexACP_c + nadp_c	-0.0
3OAR80	3OAR80	3ooctACP_c + h_c + nadph_c --> 3hoctACP_c + nadp_c	-0.0
3OAS100_num1	3OAS100_num1	h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c	0.0
