	reaction	equ	g0
NTD9	NTD9	gmp_c + h2o_c --> gsn_c + pi_c	-7.8
NTPP1	NTPP1	dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c	-52.5
NTPP10	NTPP10	ditp_c + h2o_c --> dimp_c + h_c + ppi_c	-58.2
NTPP11	NTPP11	h2o_c + xtp_c --> h_c + ppi_c + xmp_c	-58.2
NTPP3	NTPP3	dctp_c + h2o_c --> dcmp_c + h_c + ppi_c	-51.4
NTPP4	NTPP4	ctp_c + h2o_c --> cmp_c + h_c + ppi_c	-47.8
NTPP5	NTPP5	datp_c + h2o_c --> damp_c + h_c + ppi_c	-51.3
NTPP9	NTPP9	h2o_c + itp_c --> h_c + imp_c + ppi_c	-22.7
NTPTP1	NTPTP1	dgtp_c + h2o_c --> dgsn_c + pppi_c	-0.0
NTPTP2	NTPTP2	gtp_c + h2o_c --> gsn_c + pppi_c	-0.0
RNDR1	RNDR1	adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c	-43
RNDR1b	RNDR1b	adp_c + grxrd_c --> dadp_c + grxox_c + h2o_c	0.0
RNDR2	RNDR2	gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c	-39.1
RNDR2b	RNDR2b	gdp_c + grxrd_c --> dgdp_c + grxox_c + h2o_c	0.0
RNDR3	RNDR3	cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c	-39.8
RNDR3b	RNDR3b	cdp_c + grxrd_c --> dcdp_c + grxox_c + h2o_c	0.0
RNDR4	RNDR4	trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c	-43.7
RNDR4b	RNDR4b	grxrd_c + udp_c --> dudp_c + grxox_c + h2o_c	0.0
RNTR2c	RNTR2c	fldrd_c + gtp_c --> dgtp_c + fldox_c + h2o_c	0.0
RNTR3c	RNTR3c	ctp_c + fldrd_c --> dctp_c + fldox_c + h2o_c	0.0
RNTR4c	RNTR4c	fldrd_c + utp_c --> dutp_c + fldox_c + h2o_c	0.0
TMDS	TMDS	dump_c + mlthf_c --> dhf_c + dtmp_c	-45.3
UMPK	UMPK	atp_c + ump_c --> adp_c + udp_c	0.4
UPPRT_num1	UPPRT_num1	prpp_c + ura_c --> ppi_c + ump_c	-24
URIDK2r	URIDK2r	atp_c + dump_c --> adp_c + dudp_c	0.6
XTSNH_num1	XTSNH_num1	h2o_c + xtsn_c --> rib__D_c + xan_c	-3.7
NTP1	NTP1	atp_c + h2o_c --> adp_c + h_c + pi_c	-30.61
NTP10	NTP10	h2o_c + itp_c --> h_c + idp_c + pi_c	-31.9
NTP11	NTP11	ditp_c + h2o_c --> didp_c + h_c + pi_c	-37.8
NTP12	NTP12	h2o_c + xtp_c --> h_c + pi_c + xdp_c	-37.8
NTP3	NTP3	gtp_c + h2o_c --> gdp_c + h_c + pi_c	-28.4
NTP5	NTP5	ctp_c + h2o_c --> cdp_c + h_c + pi_c	-30.9
NTPP2	NTPP2	gtp_c + h2o_c --> gmp_c + h_c + ppi_c	-43.1
NTPP6	NTPP6	atp_c + h2o_c --> amp_c + h_c + ppi_c	-46.0
NTPP7	NTPP7	dttp_c + h2o_c --> dtmp_c + h_c + ppi_c	-44.1
NTPP8	NTPP8	h2o_c + utp_c --> h_c + ppi_c + ump_c	-46
ATPS4rpp	ATPS4rpp	adp_c + 4.0 h_e + pi_c --> atp_c + h2o_c + 3.0 h_c	0
CAT	CAT	2.0 h2o2_c --> 2.0 h2o_c + o2_c	-192
CRNCAL2	CRNCAL2	atp_c + coa_c + crn_c --> adp_c + crncoa_c + pi_c	5.4
CRNDCAL2	CRNDCAL2	atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c	8.1
CTBTCAL2	CTBTCAL2	atp_c + coa_c + ctbt_c --> adp_c + ctbtcoa_c + pi_c	-347.7
CYTBD2pp	CYTBD2pp	2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_e + mqn8_c	-201
CYTBDpp	CYTBDpp	2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c	-94
CYTBO3_4pp	CYTBO3_4pp	4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_e + q8_c	-94
DMSOR1pp	DMSOR1pp	dmso_e + mql8_c --> dms_e + h2o_e + mqn8_c	-224
DMSOR2pp	DMSOR2pp	2dmmql8_c + dmso_e --> 2dmmq8_c + dms_e + h2o_e	-202
FDH4pp_num1	FDH4pp_num1	for_e + 2.0 h_c + q8_c --> co2_c + h_e + q8h2_c	-145
FDH5pp_num1	FDH5pp_num1	for_e + 2.0 h_c + mqn8_c --> co2_c + h_e + mql8_c	-37
G3PD5	G3PD5	glyc3p_c + q8_c --> dhap_c + q8h2_c	-109
G3PD6	G3PD6	glyc3p_c + mqn8_c --> dhap_c + mql8_c	-1
G3PD7	G3PD7	2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c	-24
HYD1pp	HYD1pp	h2_c + 2.0 h_c + q8_c --> 2.0 h_e + q8h2_c	-170
HYD2pp	HYD2pp	h2_c + 2.0 h_c + mqn8_c --> 2.0 h_e + mql8_c	-63
HYD3pp	HYD3pp	2dmmq8_c + h2_c + 2.0 h_c --> 2dmmql8_c + 2.0 h_e	-85
LDH_D2	LDH_D2	lac__D_c + q8_c --> pyr_c + q8h2_c	-111
NADH10	NADH10	h_c + mqn8_c + nadh_c --> mql8_c + nad_c	-23
NADH16pp	NADH16pp	4.0 h_c + nadh_c + q8_c --> 3.0 h_e + nad_c + q8h2_c	-131
NADH17pp	NADH17pp	4.0 h_c + mqn8_c + nadh_c --> 3.0 h_e + mql8_c + nad_c	-23
NADH18pp	NADH18pp	2dmmq8_c + 4.0 h_c + nadh_c --> 2dmmql8_c + 3.0 h_e + nad_c	-45
NADH5	NADH5	h_c + nadh_c + q8_c --> nad_c + q8h2_c	-131
NADH9	NADH9	2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c	-45
NADPHQR2_num1	NADPHQR2_num1	h_c + nadph_c + q8_c --> nadp_c + q8h2_c	-131
NADPHQR3_num1	NADPHQR3_num1	h_c + mqn8_c + nadph_c --> mql8_c + nadp_c	-23
NADPHQR4_num1	NADPHQR4_num1	2dmmq8_c + h_c + nadph_c --> 2dmmql8_c + nadp_c	-46
NO3R1pp	NO3R1pp	2.0 h_c + no3_c + q8h2_c --> h2o_c + 2.0 h_e + no2_c + q8_c	-5
NO3R2pp	NO3R2pp	2.0 h_c + mql8_c + no3_c --> h2o_c + 2.0 h_e + mqn8_c + no2_c	-112
NTRIR2x	NTRIR2x	5.0 h_c + 3.0 nadh_c + no2_c --> 2.0 h2o_c + 3.0 nad_c + nh4_c	-374
POX	POX	h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c	-201
PPKr	PPKr	atp_c + pi_c --> adp_c + ppi_c	-14.87
SPODM	SPODM	2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c	0.0
SUCDi	SUCDi	q8_c + succ_c --> fum_c + q8h2_c	-74
TMAOR1pp	TMAOR1pp	h_e + mql8_c + tmao_e --> h2o_e + mqn8_c + tma_e	-214
TMAOR2pp	TMAOR2pp	2dmmql8_c + h_e + tmao_e --> 2dmmq8_c + h2o_e + tma_e	-191
TRDR	TRDR	h_c + nadph_c + trdox_c --> nadp_c + trdrd_c	-6.4
L_LACD2	L_LACD2	lac__L_c + q8_c --> pyr_c + q8h2_c	-108
L_LACD3	L_LACD3	lac__L_c + mqn8_c --> mql8_c + pyr_c	-0
G6PDH2r	G6PDH2r	g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c	-7.6
GND	GND	6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c	10.4
PGL	PGL	6pgl_c + h2o_c --> 6pgc_c + h_c	-26.3
RPE	RPE	ru5p__D_c --> xu5p__D_c	-3.4
RPI	RPI	r5p_c --> ru5p__D_c	4.5
TALA	TALA	g3p_c + s7p_c --> e4p_c + f6p_c	-1.2
TKT1	TKT1	r5p_c + xu5p__D_c --> g3p_c + s7p_c	-1.5
TKT2	TKT2	e4p_c + xu5p__D_c --> f6p_c + g3p_c	-10.5
ADSL1r	ADSL1r	dcamp_c --> amp_c + fum_c	17.0
ADSL2r	ADSL2r	25aics_c --> aicar_c + fum_c	24.8
ADSS	ADSS	asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c	-3.8
AICART	AICART	10fthf_c + aicar_c --> fprica_c + thf_c	14
AIRC2	AIRC2	air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c	-57
AIRC3	AIRC3	5aizc_c --> 5caiz_c	-30
ASPCT	ASPCT	asp__L_c + cbp_c --> cbasp_c + h_c + pi_c	-23.0
CTPS2	CTPS2	atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c	-24.4
DHORD2	DHORD2	dhor__S_c + q8_c --> orot_c + q8h2_c	-125
DHORD5	DHORD5	dhor__S_c + mqn8_c --> mql8_c + orot_c	-18
DHORTS	DHORTS	dhor__S_c + h2o_c --> cbasp_c + h_c	-8.4
GARFT	GARFT	10fthf_c + gar_c --> fgam_c + h_c + thf_c	1
GART	GART	atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c	-4
GLUPRT	GLUPRT	gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c	-67.7
GMPS2	GMPS2	atp_c + gln__L_c + h2o_c + xmp_c --> amp_c + glu__L_c + gmp_c + 2.0 h_c + ppi_c	-0
IMPC	IMPC	h2o_c + imp_c --> fprica_c	20
IMPD_num1	IMPD_num1	h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c	15
OMPDC	OMPDC	h_c + orot5p_c --> co2_c + ump_c	-22
ORPT	ORPT	orot5p_c + ppi_c --> orot_c + prpp_c	-1.7
PRAGSr	PRAGSr	atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c	-27.5
PRAIS	PRAIS	atp_c + fpram_c --> adp_c + air_c + 2.0 h_c + pi_c	-0
PRASCSi	PRASCSi	5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c	-80
PRFGS	PRFGS	atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c	0
ACALD	ACALD	acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c	-22.3
ACKr	ACKr	ac_c + atp_c --> actp_c + adp_c	14.6
ALCD2x_num1	ALCD2x_num1	etoh_c + nad_c --> acald_c + h_c + nadh_c	16.98
FHL	FHL	for_c + h_c --> co2_c + h2_c	26
LDH_D	LDH_D	lac__D_c + nad_c --> h_c + nadh_c + pyr_c	19.5
OAADC	OAADC	h_c + oaa_c --> co2_c + pyr_c	-13.3
PTAr	PTAr	accoa_c + pi_c --> actp_c + coa_c	9.4
LDH	LDH	h_c + nadh_c + pyr_c --> lac__L_c + nad_c	-22.6
ASAD	ASAD	aspsa_c + nadp_c + pi_c --> 4pasp_c + h_c + nadph_c	-25.4
ASPK	ASPK	asp__L_c + atp_c --> 4pasp_c + adp_c	21.8
DAPDC_num1	DAPDC_num1	26dap__M_c + h_c --> co2_c + lys__L_c	-14
DAPDH	DAPDH	2.0 h_c + nadph_c + nh4_c + thdp_c --> 26dap__M_c + nadp_c	30
DAPE	DAPE	26dap_LL_c --> 26dap__M_c	-1.7
DHDPRy	DHDPRy	23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c	-20
DHDPS	DHDPS	aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c	-129
HSDy	HSDy	hom__L_c + nadp_c --> aspsa_c + h_c + nadph_c	18.6
HSK	HSK	atp_c + hom__L_c --> adp_c + h_c + phom_c	-40
SDPDS	SDPDS	h2o_c + sl26da_c --> 26dap_LL_c + succ_c	8
SDPTA	SDPTA	akg_c + sl26da_c --> glu__L_c + sl2a6o_c	-1.3
THDPS_num1	THDPS_num1	h2o_c + succoa_c + thdp_c --> coa_c + sl2a6o_c	26
THRS	THRS	h2o_c + phom_c --> pi_c + thr__L_c	-29.7
26DAHtex	26DAHtex	26dap__M_e --> 26dap__M_c	0.0
3AMPtex	3AMPtex	3amp_e --> 3amp_c	0.0
3CMPtex	3CMPtex	3cmp_e --> 3cmp_c	0.0
3GMPtex	3GMPtex	3gmp_e --> 3gmp_c	0.0
3UMPtex	3UMPtex	3ump_e --> 3ump_c	0.0
ABUTt2pp	ABUTt2pp	4abut_e + h_e --> 4abut_c + h_c	0.0
ABUTtex	ABUTtex	4abut_e --> 4abut_c	0.0
ACALDtpp	ACALDtpp	acald_e --> acald_c	0.0
ACGAM1Ptex	ACGAM1Ptex	acgam1p_e --> acgam1p_c	0.0
ACGAptspp	ACGAptspp	acgam_e + pep_c --> acgam6p_c + pyr_c	-37.4
ACGAtex	ACGAtex	acgam_e --> acgam_c	0.0
ACMANAptspp_num1	ACMANAptspp_num1	acmana_e + pep_c --> acmanap_c + pyr_c	-38.9
ACMANAtex	ACMANAtex	acmana_e --> acmana_c	0.0
ACMUMptspp_num1	ACMUMptspp_num1	acmum_e + pep_c --> acmum6p_c + pyr_c	-42.4
ACSERtex	ACSERtex	acser_e --> acser_c	0.0
ACt2rpp	ACt2rpp	ac_e + h_e --> ac_c + h_c	0.0
ADEt2rpp	ADEt2rpp	ade_e + h_e --> ade_c + h_c	0.0
ADNt2rpp	ADNt2rpp	adn_e + h_e --> adn_c + h_c	0.0
AKGt2rpp	AKGt2rpp	akg_e + h_e --> akg_c + h_c	0.0
ALAabcpp	ALAabcpp	ala__L_e + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c	-30.61
ALAALAabcpp	ALAALAabcpp	alaala_e + atp_c + h2o_c --> adp_c + alaala_c + h_c + pi_c	-30.61
ALAALAtex	ALAALAtex	alaala_e --> alaala_c	0.0
ALAtex	ALAtex	ala__L_e --> ala__L_c	0.0
AMPtex	AMPtex	amp_e --> amp_c	0.0
ARBabcpp	ARBabcpp	arab__L_e + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c	-30.61
ARBt3ipp	ARBt3ipp	arab__L_c + h_e --> arab__L_e + h_c	0.0
ARBTptspp	ARBTptspp	arbt_e + pep_c --> arbt6p_c + pyr_c	-39.9
ARGabcpp	ARGabcpp	arg__L_e + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c	-30.61
ARGORNt7pp	ARGORNt7pp	arg__L_e + orn_c --> arg__L_c + orn_e	0.0
ARGt3pp	ARGt3pp	arg__L_c + h_e --> arg__L_e + h_c	0.0
ASCBptspp	ASCBptspp	ascb__L_e + pep_c --> ascb6p_c + pyr_c	-39.8
ASNabcpp	ASNabcpp	asn__L_e + atp_c + h2o_c --> adp_c + asn__L_c + h_c + pi_c	-30.61
ASNt2rpp	ASNt2rpp	asn__L_e + h_e --> asn__L_c + h_c	0.0
ASPabcpp	ASPabcpp	asp__L_e + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c	-30.61
ASPt2pp	ASPt2pp	asp__L_e + h_e --> asp__L_c + h_c	0.0
ASPt2rpp	ASPt2rpp	asp__L_e + h_e --> asp__L_c + h_c	0.0
BALAt2pp	BALAt2pp	ala_B_e + h_e --> ala_B_c + h_c	0.0
BALAtex	BALAtex	ala_B_e --> ala_B_c	0.0
CGLYabcpp	CGLYabcpp	atp_c + cgly_e + h2o_c --> adp_c + cgly_c + h_c + pi_c	-30.61
CGLYtex	CGLYtex	cgly_e --> cgly_c	0.0
CHTBSptspp	CHTBSptspp	chtbs_e + pep_c --> chtbs6p_c + pyr_c	0.0
CITt3pp	CITt3pp	cit_c + h_e --> cit_e + h_c	0.0
CITt7pp	CITt7pp	cit_e + succ_c --> cit_c + succ_e	0.0
CITtex	CITtex	cit_e --> cit_c	0.0
CLt3_2pp	CLt3_2pp	2.0 cl_e --> 2.0 cl_c + h_c	0.0
CRNabcpp	CRNabcpp	atp_c + crn_e + h2o_c --> adp_c + crn_c + h_c + pi_c	-30.61
CRNDabcpp	CRNDabcpp	atp_c + crn__D_e + h2o_c --> adp_c + crn__D_c + h_c + pi_c	-30.61
CRNDt2rpp	CRNDt2rpp	crn__D_e + h_e --> crn__D_c + h_c	0.0
CRNt2rpp	CRNt2rpp	crn_e + h_e --> crn_c + h_c	0.0
CRNt8pp	CRNt8pp	crn__D_c + crn_e --> crn__D_e + crn_c	0.0
CTBTabcpp	CTBTabcpp	atp_c + ctbt_e + h2o_c --> adp_c + ctbt_c + h_c + pi_c	-30.61
CTBTt2rpp	CTBTt2rpp	ctbt_e + h_e --> ctbt_c + h_c	0.0
CUt3	CUt3	cu_c + h_e --> cu_e + h_c	0.0
CUtex	CUtex	cu_e --> cu_c	0.0
CYANtex	CYANtex	cyan_e --> cyan_c	0.0
CYSabc2pp	CYSabc2pp	atp_c + cys__L_c + h2o_c --> adp_c + cys__L_e + h_c + pi_c	-30.61
CYSabcpp	CYSabcpp	atp_c + cys__L_e + h2o_c --> adp_c + cys__L_c + h_c + pi_c	-30.61
CYStpp	CYStpp	cys__L_c --> cys__L_e	0.0
CYTDt2pp	CYTDt2pp	cytd_e + h_e --> cytd_c + h_c	0.0
CYTDt2rpp	CYTDt2rpp	cytd_e + h_e --> cytd_c + h_c	0.0
DADNtex	DADNtex	dad_2_e --> dad_2_c	0.0
DALAt2pp	DALAt2pp	ala__D_e + h_e --> ala__D_c + h_c	0.0
DALAtex	DALAtex	ala__D_e --> ala__D_c	0.0
DAMPtex	DAMPtex	damp_e --> damp_c	0.0
DAPabcpp	DAPabcpp	26dap__M_e + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c	-30.61
DCMPtex	DCMPtex	dcmp_e --> dcmp_c	0.0
DCYTtex	DCYTtex	dcyt_e --> dcyt_c	0.0
DGMPtex	DGMPtex	dgmp_e --> dgmp_c	0.0
DGSNtex	DGSNtex	dgsn_e --> dgsn_c	0.0
DHAtpp	DHAtpp	dha_e --> dha_c	0.0
DIMPtex	DIMPtex	dimp_e --> dimp_c	0.0
DINStex	DINStex	din_e --> din_c	0.0
D_LACt2pp	D_LACt2pp	h_e + lac__D_e --> h_c + lac__D_c	0.0
DMSOtex	DMSOtex	dmso_e --> dmso_c	0.0
DMStex	DMStex	dms_e --> dms_c	0.0
DSERt2pp	DSERt2pp	h_e + ser__D_e --> h_c + ser__D_c	0.0
DTMPtex	DTMPtex	dtmp_e --> dtmp_c	0.0
DUMPtex	DUMPtex	dump_e --> dump_c	0.0
DURIt2pp	DURIt2pp	duri_e + h_e --> duri_c + h_c	0.0
DURItex	DURItex	duri_e --> duri_c	0.0
ETHAtex	ETHAtex	etha_e --> etha_c	0.0
ETOHtrpp	ETOHtrpp	etoh_e --> etoh_c	0.0
F6Pt6_2pp	F6Pt6_2pp	f6p_e + 2.0 pi_c --> f6p_c + 2.0 pi_e	0.0
F6Ptex	F6Ptex	f6p_e --> f6p_c	0.0
FE3DHBZStonex	FE3DHBZStonex	fe3dhbzs_c + h_e --> fe3dhbzs_e + h_c	0.0
FE3tex	FE3tex	fe3_e --> fe3_c	0.0
FRUpts2pp	FRUpts2pp	fru_e + pep_c --> f6p_c + pyr_c	-43.1
FRUtex	FRUtex	fru_e --> fru_c	0.0
FRUURt2rpp	FRUURt2rpp	fruur_e + h_e --> fruur_c + h_c	0.0
FUMt2_2pp	FUMt2_2pp	fum_e + 2.0 h_e --> fum_c + 2.0 h_c	0.0
FUMt2_3pp	FUMt2_3pp	fum_e + 3.0 h_e --> fum_c + 3.0 h_c	0.0
FUMtex	FUMtex	fum_e --> fum_c	0.0
G1Ptex	G1Ptex	g1p_e --> g1p_c	0.0
G3PCabcpp	G3PCabcpp	atp_c + g3pc_e + h2o_c --> adp_c + g3pc_c + h_c + pi_c	-30.61
G3PEabcpp	G3PEabcpp	atp_c + g3pe_e + h2o_c --> adp_c + g3pe_c + h_c + pi_c	-30.61
G3PEtex	G3PEtex	g3pe_e --> g3pe_c	0.0
G3PGabcpp	G3PGabcpp	atp_c + g3pg_e + h2o_c --> adp_c + g3pg_c + h_c + pi_c	-30.61
G3PGtex	G3PGtex	g3pg_e --> g3pg_c	0.0
G3PIabcpp	G3PIabcpp	atp_c + g3pi_e + h2o_c --> adp_c + g3pi_c + h_c + pi_c	-30.61
G3PItex	G3PItex	g3pi_e --> g3pi_c	0.0
G3PSabcpp	G3PSabcpp	atp_c + g3ps_e + h2o_c --> adp_c + g3ps_c + h_c + pi_c	-30.61
G3PStex	G3PStex	g3ps_e --> g3ps_c	0.0
G6Pt6_2pp	G6Pt6_2pp	g6p_e + 2.0 pi_c --> g6p_c + 2.0 pi_e	0.0
G6Ptex	G6Ptex	g6p_e --> g6p_c	0.0
GAL1Ptex	GAL1Ptex	gal1p_e --> gal1p_c	0.0
GALTptspp	GALTptspp	galt_e + pep_c --> galt1p_c + pyr_c	-43.7
GAM6Pt6_2pp	GAM6Pt6_2pp	gam6p_e + 2.0 pi_c --> gam6p_c + 2.0 pi_e	0.0
GAMAN6Ptex	GAMAN6Ptex	gam6p_e --> gam6p_c	0.0
GAMptspp	GAMptspp	gam_e + pep_c --> gam6p_c + pyr_c	-37.3
GAMtex	GAMtex	gam_e --> gam_c	0.0
GLCabcpp	GLCabcpp	atp_c + glc__D_e + h2o_c --> adp_c + glc__D_c + h_c + pi_c	-30.61
GLCNt2rpp	GLCNt2rpp	glcn_e + h_e --> glcn_c + h_c	0.0
GLCptspp	GLCptspp	glc__D_e + pep_c --> g6p_c + pyr_c	-45.7
GLCUR1Ptex	GLCUR1Ptex	glcur1p_e --> glcur1p_c	0.0
GLCURt2rpp	GLCURt2rpp	glcur_e + h_e --> glcur_c + h_c	0.0
GLNabcpp	GLNabcpp	atp_c + gln__L_e + h2o_c --> adp_c + gln__L_c + h_c + pi_c	-30.61
GLNt2rpp	GLNt2rpp	gln__L_e + h_e --> gln__L_c + h_c	0.0
GLUabcpp	GLUabcpp	atp_c + glu__L_e + h2o_c --> adp_c + glu__L_c + h_c + pi_c	-30.61
GLUt4pp	GLUt4pp	glu__L_e + na1_e --> glu__L_c + na1_c	0.0
GLUtex	GLUtex	glu__L_e --> glu__L_c	0.0
GLYALDtpp	GLYALDtpp	glyald_e --> glyald_c	0.0
GLYBabcpp_num1	GLYBabcpp_num1	atp_c + glyb_e + h2o_c --> adp_c + glyb_c + h_c + pi_c	-30.61
GLYC2Pabcpp	GLYC2Pabcpp	atp_c + glyc2p_e + h2o_c --> adp_c + glyc2p_c + h_c + pi_c	-30.61
GLYC3Pabcpp	GLYC3Pabcpp	atp_c + glyc3p_e + h2o_c --> adp_c + glyc3p_c + h_c + pi_c	-30.61
GLYC3Pt6pp	GLYC3Pt6pp	glyc3p_e + pi_c --> glyc3p_c + pi_e	0.0
GLYC3Ptex	GLYC3Ptex	glyc3p_e --> glyc3p_c	0.0
GLYCAt2rpp	GLYCAt2rpp	glyc__R_e + h_e --> glyc__R_c + h_c	0.0
GLYCtpp	GLYCtpp	glyc_c --> glyc_e	0.0
GLYtex	GLYtex	gly_e --> gly_c	0.0
GMPtex	GMPtex	gmp_e --> gmp_c	0.0
GSNt2pp	GSNt2pp	gsn_e + h_e --> gsn_c + h_c	0.0
GSNtex	GSNtex	gsn_e --> gsn_c	0.0
GTHRDabc2pp	GTHRDabc2pp	atp_c + gthrd_c + h2o_c --> adp_c + gthrd_e + h_c + pi_c	-30.61
GTHRDabcpp	GTHRDabcpp	atp_c + gthrd_e + h2o_c --> adp_c + gthrd_c + h_c + pi_c	-30.61
GTHRDtex	GTHRDtex	gthrd_e --> gthrd_c	0.0
GUAt2pp	GUAt2pp	gua_e + h_e --> gua_c + h_c	0.0
GUAtpp	GUAtpp	gua_e --> gua_c	0.0
H2Otpp	H2Otpp	h2o_e --> h2o_c	0.0
H2St1pp	H2St1pp	h2s_c --> h2s_e	0.0
H2Stex	H2Stex	h2s_e --> h2s_c	0.0
H2tpp	H2tpp	h2_e --> h2_c	0.0
HISabcpp	HISabcpp	atp_c + h2o_c + his__L_e --> adp_c + h_c + his__L_c + pi_c	-30.61
HISt2rpp	HISt2rpp	h_e + his__L_e --> h_c + his__L_c	0.0
HOMt2pp	HOMt2pp	h_e + hom__L_c --> h_c + hom__L_e	0.0
HOMtex	HOMtex	hom__L_e --> hom__L_c	0.0
HYXNtpp	HYXNtpp	hxan_e --> hxan_c	0.0
ILEt2rpp	ILEt2rpp	h_e + ile__L_e --> h_c + ile__L_c	0.0
INDOLEt2pp	INDOLEt2pp	h_c + indole_c --> h_e + indole_e	0.0
INDOLEt2rpp	INDOLEt2rpp	h_e + indole_e --> h_c + indole_c	0.0
INSt2pp	INSt2pp	h_e + ins_e --> h_c + ins_c	0.0
INSt2rpp	INSt2rpp	h_e + ins_e --> h_c + ins_c	0.0
LEUt2rpp_num1	LEUt2rpp_num1	h_e + leu__L_e --> h_c + leu__L_c	0.0
L_LACt2rpp	L_LACt2rpp	h_e + lac__L_e --> h_c + lac__L_c	0.0
LYSabcpp	LYSabcpp	atp_c + h2o_c + lys__L_e --> adp_c + h_c + lys__L_c + pi_c	-30.61
LYSt2pp	LYSt2pp	h_e + lys__L_e --> h_c + lys__L_c	0.0
LYSt3pp	LYSt3pp	h_e + lys__L_c --> h_c + lys__L_e	0.0
MALt3pp	MALt3pp	h_e + mal__L_c --> h_c + mal__L_e	0.0
MALTabcpp	MALTabcpp	atp_c + h2o_c + malt_e --> adp_c + h_c + malt_c + pi_c	-30.61
MALTptspp	MALTptspp	malt_e + pep_c --> malt6p_c + pyr_c	-39.5
MAN6Pt6_2pp	MAN6Pt6_2pp	man6p_e + 2.0 pi_c --> man6p_c + 2.0 pi_e	0.0
MANptspp	MANptspp	man_e + pep_c --> man6p_c + pyr_c	-44.5
METabcpp	METabcpp	atp_c + h2o_c + met__L_e --> adp_c + h_c + met__L_c + pi_c	-30.61
METt2rpp	METt2rpp	h_e + met__L_e --> h_c + met__L_c	0.0
MNLptspp	MNLptspp	mnl_e + pep_c --> mnl1p_c + pyr_c	-43.0
MNt2pp	MNt2pp	h_e + mn2_e --> h_c + mn2_c	0.0
NACtpp	NACtpp	nac_e --> nac_c	0.0
NAtex	NAtex	na1_e --> na1_c	0.0
NMNt7pp	NMNt7pp	h2o_c + nmn_e --> h_c + ncam_c + r5p_c	-31
NO3tex	NO3tex	no3_e --> no3_c	0.0
NOtex	NOtex	no_e --> no_c	0.0
O2Stex	O2Stex	o2s_e --> o2s_c	0.0
ORNabcpp	ORNabcpp	atp_c + h2o_c + orn_e --> adp_c + h_c + orn_c + pi_c	-30.61
OROTt2_2pp	OROTt2_2pp	2.0 h_e + orot_e --> 2.0 h_c + orot_c	0.0
PA120abcpp_num1	PA120abcpp_num1	atp_c + h2o_c + pa120_c --> adp_c + h_c + pa120_e + pi_c	-30.61
PA140abcpp_num1	PA140abcpp_num1	atp_c + h2o_c + pa140_c --> adp_c + h_c + pa140_e + pi_c	-30.61
PA141abcpp_num1	PA141abcpp_num1	atp_c + h2o_c + pa141_c --> adp_c + h_c + pa141_e + pi_c	-30.61
PA160abcpp_num1	PA160abcpp_num1	atp_c + h2o_c + pa160_c --> adp_c + h_c + pa160_e + pi_c	-30.61
PA161abcpp_num1	PA161abcpp_num1	atp_c + h2o_c + pa161_c --> adp_c + h_c + pa161_e + pi_c	-30.61
PA180abcpp_num1	PA180abcpp_num1	atp_c + h2o_c + pa180_c --> adp_c + h_c + pa180_e + pi_c	-30.61
PA181abcpp_num1	PA181abcpp_num1	atp_c + h2o_c + pa181_c --> adp_c + h_c + pa181_e + pi_c	-30.61
